,hotel_name,price_week_before
509,Chester Suites,"€ 1,230"
510,Opera Italian Suite,€ 847
511,Hotel 4 Coronati,€ 794
512,Attico con terrazza @ Pantheon,"€ 2,096"
513,Casa Fabbrini Fancy Suites,"€ 2,090"
514,Petra Apartments,"€ 2,696"
515,I Fiumi Di Navona,"€ 1,339"
516,"amoRaRoma, economy guest house with shared bathrooms",€ 811
517,Casa Modelli,"€ 3,252"
518,Vibe Nazionale,"€ 1,753"
519,ANNIA HOUSE,"€ 1,622"
520,Growel Exclusive Suites San Pietro,"€ 2,893"
521,Virgilio Suite,"€ 1,025"
522,A&F Colosseo,"€ 1,072"
523,La Casa degli Osti 2 - Piazza Navona,"€ 1,227"
524,Excellence Suite,"€ 1,315"
525,Casa di Stefano,"€ 1,208"
526,Banchi Vecchi Stay,"€ 1,434"
527,Relais Teatro Argentina,"€ 1,313"
528,Magenta Collection Argentina,"€ 1,443"
529,Suite Artis Barberini,"€ 1,169"
530,The Guardian,"€ 1,440"
531,Casa de' Coronari,"€ 1,788"
532,Residenza Piranesi by Tree Charme,"€ 2,675"
533,CLASSIC FLAT boschetto,"€ 1,380"
534,Room Inn Vatican,"€ 1,150"
535,Corso Boutique Luxury Rooms,"€ 1,829"
536,Relais San Lorenzo In Lucina,"€ 1,934"
537,Boutique Relais Barozzi & SPA,"€ 1,854"
538,Smart BB,"€ 1,208"
539,Musa Rooms Roma,"€ 1,692"
540,B&B Fantasie Romane,"€ 1,368"
541,Coronari Palace,"€ 2,547"
542,Bed & Breakfast Armonie Romane,"€ 1,464"
543,Sixtythree guesthouse,"€ 1,220"
544,Dulcis In Fundo b&b,"€ 1,187"
545,Relais Piazza Del Popolo,"€ 2,888"
546,Briseide Boutique Rooms Colosseum,"€ 1,770"
547,"Albergo Delle Regioni, Barberini - Fontana di Trevi","€ 1,605"
548,Meile House,€ 692
549,Navona Colors Hotel,"€ 1,847"
550,San Pietro's Home,€ 995
551,Room 230 Roma Luxury Suites,"€ 1,468"
552,SuityRHome Campo de' Fiori,"€ 1,639"
553,Visconti apartment.,"€ 1,890"
554,Di Rienzo Pantheon Palace,"€ 1,437"
555,Martina Suites,"€ 1,930"
556,RomAntic Dreams Sistina Guest House,"€ 2,028"
557,Visconti Suites by FNA Hospitality Roma,"€ 1,162"
558,Ripetta Rooms,"€ 1,404"
559,Giubbonari Suites,"€ 1,537"
560,Hotel Le Clarisse al Pantheon,"€ 1,767"
561,Hotel Martini,"€ 1,381"
562,Sophie Terrace Hotel,"€ 1,792"
563,Teichnersuite,"€ 3,593"
564,Hotel Diplomatic,"€ 1,534"
565,Hotel Seiler,"€ 1,411"
566,St. Peter Central Rooms B&B,"€ 1,229"
567,Hotel Forum,"€ 2,772"
568,Hotel Scenario,"€ 3,060"
569,Nova Domizia,"€ 1,166"
570,Floris Hotel,"€ 1,392"
571,Jacuzzi Rooms,€ 946
572,Top Floor Navona,"€ 1,115"
573,Trevi Palace Hotel,"€ 1,495"
574,Hotel Trevi - Gruppo Trevi Hotels,"€ 1,567"
575,Luxury A Casa Simpatia Roma - Free Secure Parking if book 5 nights,€ 930
576,Pantheon Guest House,"€ 1,021"
577,Cicero Rome Center,"€ 1,567"
578,Hotel Martino Ai Monti,"€ 1,287"
579,Tridente Suites,"€ 1,513"
580,Relais Forus Inn,"€ 1,235"
581,Viminale Domus,"€ 1,571"
582,DEZA cozy place Nazionale,"€ 2,588"
583,Trust-trastevere,"€ 1,158"
584,Vatican Luxury House,"€ 1,259"
585,Calisto Luxury Trastevere,"€ 1,593"
586,Suite Fontana di Trevi,"€ 1,907"
587,Hotel Alex Square,€ 728
588,Vatican Cozy Suites - Liberty Collection,"€ 2,239"
589,Foresteria di Piazza Cavour - Luxury Suites & Guest House,"€ 1,828"
590,Roman Holidays Rooms Otranto,€ 941
591,RESIDENZA VITTORIA Roma,"€ 1,231"
592,Italy Guest House,€ 951
593,Hotel Panda,"€ 1,194"
594,Black Rooms Colosseo,"€ 1,254"
595,Il Campo Marzio,"€ 2,176"
596,Maison Maneli,"€ 1,429"
597,Gens Julia,"€ 1,353"
598,Capital Suite,€ 954
599,Tullia&Prisca Relais,"€ 1,115"
600,Tullia&Prisca Relais,"€ 1,115"
601,Ara Pacis Inn,"€ 1,572"
602,Hotel Rinascimento - Gruppo Trevi Hotels,"€ 1,699"
603,Profumo Maison Ripetta,"€ 1,614"
604,AmoRoma Suite,"€ 1,239"
605,Colosseum Holidays - San Giovanni in Laterano,"€ 1,574"
606,Residenza Frattina,"€ 1,639"
607,Penna Flats,€ 807
608,iRooms Central Station,€ 946
609,Il Corso Comfort Rooms,"€ 1,671"
610,Hotel Adriatic,€ 919
611,Hotel Vilòn - Small Luxury Hotels of the World,"€ 7,500"
612,Tree Charme Augusto Luxury Suites,"€ 2,771"
