,hotel_name,price_week_before
458,Trip Barcelona Spain,"€ 1,148"
459,HOSTAL BEDMATES,€ 912
460,H10 Metropolitan 4* Sup,"€ 1,906"
461,Hotel Gótico,"€ 1,651"
462,Boutique Hotel H10 Montcada,"€ 1,963"
463,Suites4days Provenza Apartment,"€ 1,487"
464,Ciutat de Barcelona,"€ 1,216"
465,La Casa de Antonio Boutique Rooms,"€ 1,177"
466,Moderno,"€ 1,497"
467,La Maison de Barcelone,"€ 1,708"
468,Hotel El Palace Barcelona,"€ 3,129"
469,NH Collection Barcelona Constanza,"€ 2,137"
470,Yurbban Trafalgar Hotel,"€ 2,009"
471,The Mirror Barcelona - Adults Only,"€ 1,633"
472,Splash,"€ 1,037"
473,Apartment Camp Nou- Travessera de les Corts by Interhome,"€ 1,288"
474,Aspasios Las Ramblas Apartments,"€ 2,325"
475,Hotel El Call,"€ 1,698"
476,Mercure Barcelona Condor,"€ 1,689"
477,Apolo RoofTop Barcelona,"€ 1,104"
478,Catedral Bas Apartments by Aspasios,"€ 2,034"
479,Casa Trafalgar Barcelona,"€ 1,751"
480,Fuster Apartments by Aspasios,"€ 1,938"
481,Suite Gracia Barcelona,"€ 1,169"
482,"Sir Victor Hotel, part of Sircle Collection","€ 2,911"
483,ApartEasy - Central Gracia Apartments,"€ 1,582"
484,"Hotel Indigo Barcelona Granvia Plaza Espana, an IHG Hotel","€ 1,427"
485,Primavera Hostel,"€ 1,937"
486,Park Hotel,"€ 1,169"
487,Llull Home,"€ 1,400"
488,Private Room Gothic Quarter,€ 650
489,Factory Apartments Barcelona,"€ 1,408"
490,BcnStop Sant Pau Suites,"€ 1,282"
491,My Address in Sant Antoni,"€ 1,478"
492,BizFlats Eixample Apartments,"€ 2,990"
493,Ola Living Music,"€ 2,281"
494,Alba Hotel,"€ 1,535"
495,Condes de Barcelona,"€ 1,875"
496,Plaza Goya Rooms,€ 971
497,Hotel Condal,"€ 1,747"
498,Apartments Gaudi Barcelona,"€ 1,249"
499,Enjoy Apartments Borrell,"€ 3,545"
500,Private rooms in Gothic,€ 800
501,Eurostars Monumental,"€ 1,940"
502,Sant Jordi Hostels Sagrada Familia,"€ 1,509"
503,Urbany Hostel Barcelona,€ 833
504,Hotel Casa Fuster G.L Monumento,"€ 12,693"
505,Hotel Neri – Relais & Chateaux,"€ 2,939"
506,Apartment Gracia- Providencia by Interhome,"€ 1,386"
507,Cathedral Barcelona Rooms,€ 770
508,Pension Ciudadela,"€ 1,346"
509,Apartment Centro- Passeig de Gracia - Casa Batllo by Interhome,"€ 1,747"
510,Brummell Apartments Gracia,"€ 1,734"
511,H10 Urquinaona Plaza,"€ 1,659"
512,Sant Pau Ramblas Apartments Serennia,"€ 1,971"
513,H10 Universitat,"€ 1,539"
514,Hotel Inglés,€ 960
515,Urquinaona Rooms,€ 710
516,ABaC Restaurant Hotel Barcelona GL Monumento,"€ 2,230"
517,The Hotel 592 - Adults Only,"€ 1,031"
518,Happy People Gaudi Sant Pau Apartments,"€ 1,249"
519,Cozy Flat,"€ 1,095"
520,Durlet Beach Apartments,"€ 1,489"
521,Paseo de Gracia Bas Apartments by Aspasios,"€ 2,037"
522,Chic & Basic Velvet,"€ 1,194"
523,Gran Hotel Barcino,"€ 1,651"
524,Ola Living Calabria,"€ 2,028"
525,Apartamentos Navas,"€ 1,466"
526,La França Travellers Adults Only,€ 934
527,La França Travellers Adults Only,€ 934
528,Hostel Friends Barcelona,"€ 1,010"
529,Hostal Europa,€ 635
530,Apartment Barcelona Centric Apartment by Interhome,"€ 1,282"
531,Bonito piso cerca de park guell,€ 982
532,Ramblas Hotel,"€ 1,201"
533,Onix Liceo,"€ 1,233"
534,Ikonik Ramblas,"€ 2,263"
535,May Ramblas Hotel,"€ 1,110"
536,Vi l'Art Wine Lodge,€ 551
537,Duquesa Suites Barcelona,"€ 1,979"
538,Sagrada Familia,"€ 1,258"
539,Picasso Suites,"€ 2,388"
540,Occidental Barcelona 1929,"€ 1,481"
541,!!Boat with AC in Port Forum 2 Bikes Included!!,€ 782
542,Brummell Apartments Eixample Izquierda/Valeris,"€ 1,921"
543,B&B Boutique Ca La Maria,"€ 1,552"
544,Hostal del Palau,"€ 1,090"
545,Atica Apartments - by Weflating,"€ 1,122"
546,AC Hotel Irla by Marriott,"€ 1,331"
547,Happy People Ramblas Harbour Apartments,"€ 2,253"
548,Casa Boutique Barcelona,"€ 1,321"
549,Charming Flats by Aspasios,"€ 1,556"
550,ArtlifeBCN Urban Oasis Apartment,"€ 3,561"
551,Pensión Casa Blanca,€ 890
552,La Mare by The Streets,"€ 1,694"
553,Hotel Ciutadella Barcelona,"€ 1,651"
554,NH Barcelona Eixample,"€ 1,344"
555,Apartments Barcelona Sagrada,"€ 1,527"
556,Eco Boutique Hostal Grau,"€ 1,599"
557,The Lonely Chimney Apartments,"€ 1,788"
558,BBarcelona Plaça Universitat Flat,"€ 1,422"
559,Bird House,€ 656
560,Limonaia,"€ 1,220"
561,Pensión San Ramón,€ 640
562,AinB Picasso-Corders Apartments,"€ 1,149"
563,Le Meridien Barcelona,"€ 3,190"
