,hotel_name,price_week_before
345,Aspasios Rambla Catalunya Suites,"€ 1,848"
346,Midtown Apartments,"€ 2,172"
347,Attica 21 Barcelona Mar,"€ 1,069"
348,La Casa de Antonio Boutique Rooms,"€ 1,288"
349,La França Travellers Adults Only,€ 890
350,One bedroom Apartment in Eixample !,"€ 1,032"
351,Express by gaiarooms,"€ 1,008"
352,The Corner Hotel,"€ 1,787"
353,B Hotel,"€ 1,634"
354,Inside Barcelona Apartments Salva,"€ 1,475"
355,Hotel Royal Passeig de Gracia,"€ 1,923"
356,Sensation Sagrada Familia,"€ 1,796"
357,Room Mate Carla,"€ 1,655"
358,Ako Suites Hotel,"€ 1,655"
359,Fuster Apartments by Aspasios,"€ 2,001"
360,Grupotel Gran Via 678,"€ 1,529"
361,Sunotel Central,"€ 1,517"
362,Generator Barcelona,"€ 1,447"
363,NH Collection Barcelona Podium,"€ 1,942"
364,Eric Vökel Boutique Apartments - Gran Vía Suites,"€ 1,795"
365,Hotel Margot House Barcelona,"€ 2,575"
366,Caledonian,"€ 1,620"
367,Inside Barcelona Apartments Princep,"€ 1,686"
368,Aparthotel Atenea Calabria,"€ 1,562"
369,Som Nit Born,"€ 1,393"
370,Hotel 54 Barceloneta,"€ 1,670"
371,"Grand Hotel Central, Small Luxury Hotels","€ 2,405"
372,Hotel Miramar Barcelona GL,"€ 1,845"
373,Barceló Sants,"€ 1,675"
374,Lugaris Rambla Apartments,"€ 1,679"
375,AC Hotel Diagonal L'Illa by Marriott,"€ 1,658"
376,Nobu Hotel Barcelona,"€ 2,296"
377,The Conica Deluxe Bed&Breakfast,"€ 1,779"
378,Hotel Sagrada Familia Apartments,"€ 1,482"
379,Centric Sagrada Familia Apartments,"€ 1,486"
380,INNSiDE by Meliá Barcelona Apolo,"€ 1,817"
381,BBarcelona Central Boutique Apartments,"€ 1,536"
382,BcnStop Parc Güell,"€ 1,450"
383,!!Boat with AC in Port Forum 2 Bikes Included!!,€ 782
384,BYPILLOW Mothern,"€ 1,529"
385,NH Sants Barcelona,"€ 1,804"
386,TOC Hostel Barcelona,"€ 1,200"
387,Àtic Trobador,"€ 1,004"
388,Room Mate Gerard,"€ 1,839"
389,Hotel Balmoral,"€ 1,239"
390,Sunotel Aston,€ 981
391,B&B Boutique Ca La Maria,"€ 1,734"
392,Hotel El Palace Barcelona,"€ 3,531"
393,Sensation Authentic Gràcia,"€ 1,772"
394,Barnapartments Raval,"€ 1,256"
395,Acacia Suite,"€ 1,513"
396,Paraiso Hostel,€ 830
397,Boutique Hostemplo Sagrada Familia,"€ 1,681"
398,Cosmo Apartments Sants,"€ 1,177"
399,Hostal Live Barcelona,"€ 1,292"
400,NH Barcelona Stadium,"€ 1,641"
401,Hostal Girona,"€ 1,438"
402,"Via Sants Hotel Barcelona, Tapestry Collection By Hilton","€ 1,701"
403,H10 Cubik 4* Sup,"€ 1,799"
404,Dorado 2,"€ 1,086"
405,"Kimpton Vividora Hotel, an IHG Hotel","€ 2,579"
406,Bonanova Suite,"€ 1,531"
407,Praktik Rambla,"€ 1,346"
408,The Level at Melia Barcelona Sky,"€ 2,119"
409,Hostel Friends Barcelona,"€ 1,172"
410,Mercure Barcelona Condor,"€ 1,725"
411,ApartEasy - Central Gracia Apartments,"€ 1,575"
412,Forget Me Not Barcelona,"€ 1,623"
413,Hostal Ramos,€ 810
414,Condes de Barcelona,"€ 1,882"
415,NH Collection Barcelona Constanza,"€ 2,116"
416,David's House,"€ 1,611"
417,París Habitaciones,€ 510
418,Exe Mitre,"€ 1,608"
419,Barceloneta view apartment,€ 829
420,Putxet by gaiarooms,€ 851
421,Gran Vía by The Streets,"€ 1,788"
422,BBarcelona Còrsega Flats,"€ 1,486"
423,ApartEasy - Gracia Apartments,"€ 1,554"
424,Circa 1905,"€ 2,282"
425,"Sir Victor Hotel, part of Sircle Collection","€ 2,928"
426,Boat Hotel Barcelona,"€ 1,075"
427,Habitat Apartments Blanca,"€ 1,612"
428,Apartment Eixample Dret Valencia - Cartagena by Interhome,"€ 1,138"
429,Arc House Barcelona,€ 630
430,Hotel Oasis,"€ 1,902"
431,TOC Hotel Las Ramblas,"€ 1,564"
432,Apartments Barcelona Sagrada,"€ 1,527"
433,ME Barcelona,"€ 3,229"
434,Olivia Plaza Hotel,"€ 2,265"
435,Hotel Market,"€ 1,976"
436,Hotel Inglés,"€ 1,165"
437,Sonder La Casa del Sol,"€ 1,564"
438,ABaC Restaurant Hotel Barcelona GL Monumento,"€ 2,230"
439,Aspasios Garden Apartments,"€ 2,028"
440,Mercer House Bòria BCN,"€ 1,769"
441,Casa Barcelo Hostel Barcelona,€ 950
442,"Sunny flat,near ramblas,wifi incl.","€ 1,141"
443,Aspasios Poble Nou Apartments,"€ 1,965"
444,Aspasios Urquinaona Design,"€ 2,028"
445,Eurostars Monumental,"€ 1,940"
446,Forget Me Not Barcelona,"€ 1,623"
447,NH Collection Barcelona Gran Hotel Calderon,"€ 3,184"
448,Ola Living Portaferrissa,"€ 1,999"
449,Aspasios Las Ramblas Apartments,"€ 2,325"
450,Lodging Apartments Gracia,"€ 1,788"
451,Catalunya,"€ 1,428"
452,Olivia Balmes Hotel,"€ 2,489"
453,Hostal Marenostrum,€ 935
454,The Lonely Chimney Apartments,"€ 1,712"
455,Apartamentos Navas,"€ 1,466"
